Name,Birthday,First_Appear,Debut,Leave,Generation
王俊凯,1999.09.21,2011.1,2013.08.06,,1
王源,2000.11.08,2011.12,2013.08.06,,1
易烊千玺,2000.11.28,2013.4,2013.08.06,,1
马嘉祺,2002.12.12,2017.7,2019.11.23,,2
丁程鑫,2002.02.24,2013.9,2019.11.23,,2
宋亚轩,2004.03.04,2016.9,2019.11.23,,2
刘耀文,2005.09.23,2016.12,2019.11.23,,2
张真源,2003.04.16,2015.12,2019.11.23,,2
严浩翔,2004.08.16,2015.12,2019.11.23,,2
贺峻霖,2004.06.15,2015.11,2019.11.23,,2
朱志鑫,2005.11.19,2018.8,,,3
苏新皓,2007.01.12,2018.8,,,3
邓佳鑫,2006.07.23,2016.12,,,3
张极,2007.02.03,2018.8,,,3
左航,2006.05.22,2018.8,,,3
张泽禹,2007.04.30,2018.8,,,3
张峻豪,2007.07.20,2016.12,,,3
陈天润,2007.05.24,2018.8,,,3
穆祉丞,2007.11.16,2016.12,,,3
余宇涵,2006.11.24,2018.8,,,3
童禹坤,2006.07.07,2016.12,,,3
姚昱辰,2008.07.05,2019.7,,,3
官俊臣,2007.07.04,2021.08.09,,,4
黄朔,2008.09.24,2022.02.14,,,3
汪浚熙,2008.09.11,2022.02.14,,,4
王浩,2008.11.05,2021.08.09,,,4
张桂源,2009.05.11,2022.02.14,,,4
张函瑞,2009.10.18,2022.02.14,,,4
王橹杰,2010.01.08,2022.10.07,,,4
李嘉森,2010.01.19,2022.05.10,,,4
左奇函,2010.03.19,2022.02.14,,,4
余峻熙,2010.04.12,2023.01.26,,2023.08,4
杨博文,2010.06.01,2023.01.26,,,4
杨涵博,2010.06,2022.08.04,,,4
张奕然,2010.09.13,2023.03.06,,,4
魏子宸,2011.12.29,2022.08.04,,,4
陈浚铭,2012.05.17,2022.05.10,,,4
张仲语,2012.10.18,2022.08.04,,2023.08,4
智恩涵,2013.09.24,2023.01.26,,,4
傅子铭,2010.02.25,2022.08.04,,2023.08,4
陈奕恒,2010.5.9,2023.08.15,,,4
杨嘉豪,2012.4.19,2023.09.04,,,4
伍禾胤,1998.07.17,2010.7,,2012.2,1
左虎,1998.09.06,2010.7,,2011.12,1
朱志仁,1998.01.28,2010.7,,2012.1,1
丁玺龙,1998.11.12,2010.7,,2012.2,1
管浩圻,1999.06.26,2010.7,,2011.12,1
欧阳田戈,1998.03.14,2010.7,,2012.3,1
刘增辉,1999.11.05,2011.7,,2011.12,1
张啸,1998.12.14,2011.1,,2012.6,1
高俊杰,2000.10.29,2011.12,,2013.5,1
罗庭信,2001.05.14,2012.2,,2016.7,1
刘一麟,2001.02.01,2012.2,,2016.7,1
刘志宏,2001.9.17,2012.2,,2016.7,1
黄宇航,2001.10.21,2012.11,,2017.1.14,2
潘政霖,2005.10.19,2013.6,,2016.6,2
敖子逸,2002.12.25,2013.9,,2018.10.31,2
黄其淋,2002.1.6,2014.1,,2016.11,2
殷涌智,2004.12.12,2015.11,,2016.5,2
代昊林,2004.9.11,2015.7,,2017.7,2
曹峻玮,2004.4.21,2015.12,,2016.6,2
陈泗旭,2004.2.12,2015.7,,2023.1,2
陈玺达,2004.2.7,2017.7,,2018.1,2
李天泽,2004.4.4,2017.7,,2020.1,2
宋文嘉,2002.3.31,2018.3,,2019.8,2
辜圣棵,2001.12.25,2018.7,,2019.8,2
姚景元,2001.9.13,2018.7,2018.10.7,2019.6.28,2
赵冠羽,2005.11.14,2018.8,,2021.9.13,3